"State","Region","FIPS","Deaths","YPLLRate","HealthPoorPct","HealthBadDaysPhysAvg","HealthBadDaysMentAvg","LBWPct","SmokersPct","ObeseAdultsPct","FoodEnvirIX","PhysInactPct","ExerAccPct","DrinkExcPct","DeathsDrinkDrivePct","ChlamydiaRate","TeenBirthRate","UninsuredPct","PhysPrimCareRate","DentistRate","MentHProvRate","HospPrevRate","MammAnnualPct","VaccinatedPct","HSGradRate","Population","CollegeSomePct","LaborForce","UnemployedPct","ChildInPovertyPct","Income80thpcntl","Income20thpcntl","IncomeRatio","SingsParsHshsldsPct","SocsAssRate","ViolsCrimeAnlAvg","ViolCrimeRate","InjuryDeathRate","DailyPM25Avg","WaterViol","HousSvrProbPct","HousSvrCostBurden","HousSvrOvercrowd","HousInadFacil","DriveAloneWorkPct","DriveAloneLongPct","LifeExpect","DeathAgeAdjRate","DistressFreqPhysPct","DistressFreqMentPct","DiabetesAdultPct","FoodInsecurePct","FoodHealthLimAccPct","SleepPoorPct","UninsAdultPct","UninsChildPct","OthPrimCareProvRate","IncHousehldMedian","LunchFreeReducedPct","TrafficVolume","HomeownersPct","HousehldSvrCostPct","Population2","PopLT18Pct","PopGE65Pct","PopNativePct","PopPacificPct","EnglishNotProfPct","PopFemalePct","PopRuralPct"
"Alabama","Autauga",1001,791,8128.5911903,20.882987328,4.7438888672,4.6540313965,8.6195286195,18.08155718,33.3,7.2,34.7,69.130124059,15.026031257,26.785714286,407.2,25.284927164,8.7216859511,45.0418,32.37352,23.38087,7108,41,41,90,14438,62.009973681,25957,3.6290788612,19.3,110026,21019,5.2345972691,26.242679081,12.071202076,148.5,272.28222006,68.526994226,11.7,"No",14.663461538,12.826718296,1.2019230769,1.3461538462,86.523661372,39.6,76.879477172,417.54755051,13.685228616,14.129346649,11.1,13.2,11.991125,35.905406064,11.14898915,2.6691540504,39.56763,59338,43.408673083,88.457040416,74.894624674,13.403481168,55601,23.67403464,15.562669736,0.4802071905,0.1115087858,0.8202245028,51.448714951,42.002162321
"Alabama","Baldwin",1003,2967,7354.1225298,17.50913436,4.2245192015,4.3040564688,8.3450031827,17.489032597,31,8,26.5,73.713548953,17.958310103,30.769230769,325,27.88069221,11.333404467,72.89727,49.53629,96.32055,4041,43,44,86.361576801,48703,67.371619818,93849,3.6153821564,13.9,111447,25227,4.4177666786,24.139601453,10.205617322,408,203.66039629,72.385053972,10.3,"No",13.566200931,12.277388019,1.2707917498,0.4790419162,84.282432728,41.7,78.450258368,353.34311052,12.480107671,13.475335559,10.7,11.6,5.424426597,33.305868141,14.348524769,3.538763291,55.95766,57588,48.486564722,86.997429882,73.619343186,11.725807954,218022,21.607911128,20.443349754,0.7723991157,0.0669657191,0.5435169824,51.538376861,42.279099114
"Alabama","Barbour",1005,472,10253.573403,29.591801708,5.4302788594,5.1855944125,11.474558671,21.999984528,41.7,5.6,23.5,53.166769858,12.844015554,40,716.3,40.870815362,12.242792457,31.65809,36.17218,8.03826,6209,45,37,81.41025641,6779,34.857648621,8373,5.1713842112,43.9,76557,13475,5.6814100186,56.603426045,7.5187969925,105.5,414.27786068,70.274611559,11.5,"No",14.583333333,13.445945946,1.6885964912,0.6030701754,83.368470368,32.2,75.34193493,497.35006209,17.184897504,16.586252209,17.6,22,10.739666573,38.563167125,16.08583414,2.9135338346,52.2487,34382,63.292302039,102.29176221,61.397779229,14.059546314,24881,20.867328484,19.420441301,0.6591374945,0.1848800289,1.6316825189,47.216751738,67.789634702
"Alabama","Bibb",1007,471,11977.539484,19.439724157,4.5914824378,4.5516988486,10.308710033,19.114199885,37.6,7.8,33.5,16.251363736,15.570042367,27.586206897,339.7,41.696794408,10.206252586,48.52656,22.32143,22.32143,5961,40,38,83.763837638,5970,44.137353434,8661,3.9718277335,27.8,87957,20134,4.3685805106,28.689236111,8.3818598906,19.5,89.349125982,108.15602837,11.2,"No",10.496453901,9.9782766112,0.2553191489,0.7092198582,84.910646866,49.8,73.571820279,589.04111681,13.626575493,14.017536353,14.5,14.3,2.6016270077,38.1488654,13,2.6178010471,111.60714,46064,61.562115621,29.335580011,75.073099415,9.886874322,22400,20.477678571,16.473214286,0.4375,0.1160714286,0.2682100508,46.78125,68.352607462
"Alabama","Blount",1009,1085,11335.071134,21.745292814,4.8608076303,4.8914546677,7.6045627376,19.20867197,33.8,8.4,30.3,15.634485887,14.230593827,19.444444444,234.4,33.5345953,13.360759494,22.40877,19.01798,15.56017,4060,34,39,93.468795356,13939,53.361073248,25006,3.5111573222,18,91702,20699,4.4302623315,28.561827957,8.4463827073,279,482.69061089,107.2853687,11.7,"No",10.548011639,7.851445663,1.8913676043,1.0911736178,86.17836202,59.4,74.145825897,515.61182276,14.523164345,14.859270834,17,10.7,2.8801498232,35.945010419,17.082341882,4.0772837051,22.4758,50412,52.90628707,33.411781963,78.626213592,8.4622572942,57840,23.153526971,18.236514523,0.653526971,0.1210235131,1.7245199409,50.726141079,89.951502041
"Alabama","Bullock",1011,203,11679.558981,30.999101851,5.3591593432,4.8913510426,15.688487585,22.894664011,37.2,4.3,24.6,2.5013743815,12.094101229,60,863.3,47.916666667,11.440376122,29.10079,19.72776,19.72776,6632,35,28,70.247933884,2719,34.976094152,4776,4.6901172529,68.3,69189,9337,7.4101959944,74.789915966,7.7602095257,33,311.0273327,107.13807419,11.2,"No",18.143459916,15.210449927,0.1125175809,3.094233474,79.060913706,46,73.530894789,562.24752995,16.880968518,15.85477602,23.7,24.8,19.743350741,45.020635869,15.240963855,2.2854477612,88.77491,29267,75.786593707,4.0665381995,75.53338875,18.501529052,10138,21.079108305,16.38390215,0.8384296705,0.7496547643,0.4407544075,45.482343658,51.374381528
"Alabama","Butler",1013,423,14359.939103,27.910673184,5.4008061965,5.340750195,12.680288462,21.765334963,43.3,6.6,39.5,48.57974889,11.85740343,27.450980392,761.7,37.886100386,11.186009539,25.22068,30.4878,50.81301,9203,42,35,81.589958159,4825,41.678756477,8914,4.7902176352,36.3,80036,14757,5.4235955818,52.712836348,9.079445145,116.5,581.58400519,100.0470221,10.6,"Yes",13.159609121,11.692307692,1.6938110749,0.3908794788,83.833183164,32.3,72.918309203,609.16970743,16.696707392,16.915363871,19.2,20.6,2.9261219306,41.911083901,14.505765338,2.6594594595,71.13821,37365,79.15713819,19.311067904,69.946332737,11.545956479,19680,22.245934959,20.299796748,0.3760162602,0.0508130081,0.4941551541,53.429878049,71.23215735
"Alabama","Calhoun",1015,2373,12078.616145,23.107733221,4.8803767403,4.8160722877,9.1613736678,20.612560375,38.5,6.9,31.7,47.721215801,13.842230147,18.75,654.6,33.534616991,11.929167524,63.62876,58.62947,115.50881,6581,32,38,92.368045649,28862,59.243988636,45972,4.6528321587,26.5,90822,18078,5.0238964487,40.191944746,14.469004951,871,756.06654427,89.541547278,11.8,"No",13.734191258,11.824932493,1.5420457067,0.8431329044,84.809213736,31.2,73.039108585,574.56384163,14.75440129,15.191507387,17.5,15.7,9.178566583,41.314343982,15.388687124,2.4385508484,56.00427,45400,58.837593215,109.89916308,69.473497213,11.722432218,114277,21.609772745,17.717475958,0.5399161686,0.1102584072,0.9913761333,51.946585927,33.696825557
"Alabama","Chambers",1017,654,11112.536614,23.995473603,4.9411783568,4.8735807661,12.213740458,19.392927053,40.1,6.4,30.1,61.864679234,12.745734617,28.571428571,611,45.441001192,11.938076809,41.52701,17.84917,5.94972,5622,38,42,86.23853211,7664,48.460334029,15276,3.9080911233,30.7,80754,17019,4.7449321347,46.555443693,17.79728888,180.5,528.99973623,81.478420027,11.4,"No",15.9566787,12.377079482,4.036101083,0.9386281588,85.252848013,31.8,74.291076031,511.62651724,15.247787308,15.49667308,19.9,17.9,10.328558281,37.266574787,15.226316844,2.5387676685,14.87431,39917,71.121351767,20.271586909,67.7641314,12.381027919,33615,20.800237989,19.521047152,0.3064108285,0.0446229362,0.1129376333,52.125539194,49.148034488
"Alabama","Cherokee",1019,568,12349.707594,20.698470599,4.7756141014,4.7112704225,8.2725060827,17.498673785,35,8.3,31.3,33.429527877,14.106562852,19.607843137,321,36.568760941,11.172649917,38.67425,15.3657,19.20713,5521,36,41,94.904458599,5446,51.836210062,11622,3.5708139735,24.7,81932,17401,4.7084650307,23.778749287,8.5083343002,86,330.43879198,108.87190178,11.4,"No",13,11.152073733,1.5,0.5,83.114465929,46.1,73.998833761,545.23369024,14.36571083,14.677941447,15.2,12.5,0.2211124003,35.35507081,13.940332682,3.1390977444,80.66994,42132,61.606243706,25.908887044,78.955308316,9.945695897,26032,19.168715427,22.971727105,0.6607252612,0.0307314075,0.4016390117,50.460971112,85.736273039
